trial,target,delay,time,scrollCount_totalScrollCount,scrollCount_upScrollCount,scrollCount_downScrollCount,scrollCount_reverseScrollCount,participants
59,DIV 3,100,2.836,13,13,0,0,5
60,DIV 5,50,2.694,20,4,16,4,5
61,DIV 1,200,4.946,22,22,0,0,5
62,DIV 1,250,4.556,27,27,0,0,5
63,DIV 2,150,3.201,33,33,0,0,5
64,DIV 1,0,3.613,34,34,0,0,5
65,DIV 7,100,2.746,28,0,28,0,5
66,DIV 1,50,3.412,37,37,0,0,5
67,DIV 5,200,4.124,27,6,21,6,5
68,DIV 5,250,5.208,21,4,17,4,5
69,DIV 6,150,3.891,33,0,33,0,5
70,DIV 6,0,5.669,45,7,38,7,5
71,DIV 1,100,4.332,31,31,0,0,5
72,DIV 6,50,4.549,37,3,34,3,5
73,DIV 2,200,4.944,36,31,5,5,5
74,DIV 6,250,4.174,40,10,30,10,5
75,DIV 1,150,3.978,37,37,0,0,5
76,DIV 5,0,4.231,30,12,18,12,5
77,DIV 7,100,2.809,32,0,32,0,5
78,DIV 1,50,2.529,23,23,0,0,5
79,DIV 7,200,3.146,34,0,34,0,5
80,DIV 2,250,4.005,33,33,0,0,5
81,DIV 3,150,3.119,20,20,0,0,5
82,DIV 7,0,3.859,33,0,33,0,5
83,DIV 6,100,4.151,28,0,28,0,5
84,DIV 7,50,2.694,22,0,22,0,5
85,DIV 3,200,4.075,23,11,12,12,5
86,DIV 2,250,4.365,27,27,0,0,5
87,DIV 7,150,2.62,25,0,25,0,5
88,DIV 2,0,2.646,25,25,0,0,5
89,DIV 6,100,3.056,28,6,22,6,5
90,DIV 3,50,1.732,15,15,0,0,5
91,DIV 2,200,2.459,26,26,0,0,5
92,DIV 6,250,4.479,32,0,32,0,5
93,DIV 3,150,2.801,22,22,0,0,5
94,DIV 3,0,4.552,43,29,14,14,5
95,DIV 1,100,2.571,30,30,0,0,5
96,DIV 5,50,2.803,25,7,18,7,5
97,DIV 1,200,4.222,66,47,19,19,5
98,DIV 3,250,5.477,38,30,8,8,5
99,DIV 7,150,3.108,25,0,25,0,5
100,DIV 5,0,3.363,17,0,17,0,5
101,DIV 2,100,4.176,37,34,3,3,5
102,DIV 3,50,2.773,24,16,8,8,5
103,DIV 1,200,3.581,24,22,2,2,5
104,DIV 5,250,3.719,25,5,20,5,5
105,DIV 6,150,3.536,35,5,30,5,5
106,DIV 5,0,2.617,17,4,13,4,5
107,DIV 2,100,2.787,34,34,0,0,5
108,DIV 3,50,2.158,15,15,0,0,5
1,DIV 5,250,4.648,22,8,14,8,6
2,DIV 5,0,1.887,11,0,11,0,6
3,DIV 7,200,2.854,22,0,22,0,6
4,DIV 7,50,3.39,25,0,25,0,6
5,DIV 5,150,5.044,19,6,13,6,6
6,DIV 2,100,3.115,20,20,0,0,6
7,DIV 1,250,2.993,22,22,0,0,6
8,DIV 6,0,3.982,17,0,17,0,6
9,DIV 5,200,3.557,21,6,15,6,6
10,DIV 5,50,3.538,40,17,23,17,6
11,DIV 6,150,3.46,26,3,23,3,6
12,DIV 1,100,3.312,41,41,0,0,6
13,DIV 5,250,3.96,41,15,26,15,6
14,DIV 1,0,3.005,31,31,0,0,6
15,DIV 5,200,4.931,47,16,31,16,6
16,DIV 2,50,3.439,18,18,0,0,6
17,DIV 7,150,4.189,29,0,29,0,6
18,DIV 2,100,5.088,26,23,3,3,6
19,DIV 1,250,3.011,29,29,0,0,6
20,DIV 1,0,2.786,21,21,0,0,6
21,DIV 2,200,4.131,40,35,5,5,6
22,DIV 3,50,3.062,27,22,5,5,6
23,DIV 3,150,3.354,31,23,8,8,6
